Variable,Missing,Unique,Min,Max,Median,Mean,SD,Count,Percentage
fgang18,0,2,0.0,1.0,0.0,0.05505706711101048,0.22809163427440085,,
female,0,2,0.0,1.0,1.0,0.50388753,0.4999988079071045,,
age_2018,0,89,18.0,106.0,48.0,48.826622,18.233171463012695,,
foreigner,0,2,0.0,1.0,0.0,0.18218376,0.39378565549850464,,
schooling_years,0,12,7.0,20.0,12.0,12.220135,2.5832695960998535,,
share_sa,0,132951,0.0,1.0,0.0,0.013573165078988357,0.10277994063502235,,
share_labor_income,0,1683809,0.0,1.0,0.9014209591474245,0.6147620928102431,0.4386356871867731,,
total_income,0,27150,0.0,1014696.0,3003.0,3230.4418014664666,2523.802689814681,,
barn0_6,0,7,0.0,6.0,0.0,0.20165412,0.525922954082489,,
barn7_17,0,11,0.0,11.0,0.0,0.32422504,0.6927104592323303,,
barn_above18,0,9,0.0,8.0,0.0,0.25661075,0.5865413546562195,,
birth_continent = Afrika,0,,,,,,,136270,1.8722397961763277
birth_continent = Asien,,,,,,,,445552,6.1215248085855665
birth_continent = EU27 utom Norden,,,,,,,,255694,3.5130291512696115
birth_continent = Europa utom EU27 och Norden,,,,,,,,206556,2.8379126978718543
birth_continent = Nordamerika,,,,,,,,26139,0.35912875931792054
birth_continent = Norden utom Sverige,,,,,,,,186416,2.561205355867075
birth_continent = Oceanien,,,,,,,,3669,0.05040909820335324
birth_continent = Sovjetunionen,,,,,,,,4810,0.06608551713222378
birth_continent = Sverige,,,,,,,,5952433,81.7816243243065
birth_continent = Sydamerika,,,,,,,,60458,0.8306441153388744
birth_continent = others,,,,,,,,451,0.006196375930692917
employment_status = employed,0,,,,,,,4723445,64.89632130366255
employment_status = nilf,,,,,,,,2410049,33.1121277503116
employment_status = unemployed,,,,,,,,144954,1.9915509460258563
sector = government_admin,0,,,,,,,1380289,18.9640566230603
sector = no_job,,,,,,,,2497785,34.31754956551177
sector = others,,,,,,,,174759,2.4010475859688767
sector = private_company,,,,,,,,2571206,35.32629483648162
sector = public_company,,,,,,,,212923,2.925390138117357
sector = self_employed,,,,,,,,441486,6.065661250860074
marital_status = married,0,,,,,,,3068524,42.15904269701453
marital_status = others,,,,,,,,3623,0.04977709533680807
marital_status = separated,,,,,,,,904555,12.427855498864593
marital_status = single,,,,,,,,2988894,41.06499077825382
marital_status = widowed,,,,,,,,312852,4.298333930530245
y_mun = NN,,,,,,,,678742,9.325367166187078
y_mun = NV,,,,,,,,318171,4.371412696772719
y_mun = VN,,,,,,,,576156,7.915918338634829
y_mun = VV,,,,,,,,5705379,78.38730179840537
