rank,feature,gain,weight,cover,gain_normalized,weight_normalized,cover_normalized
1,foreigner,859.25732421875,83.0,29492.044921875,0.7781215535389855,0.003489007524486107,0.18673248808463971
2,schooling_years,46.323829650878906,1163.0,9363.01953125,0.04194968058793144,0.04888814157804027,0.0592831028735675
3,marital_status,36.87284469604492,784.0,6478.62890625,0.03339110926331064,0.03295640842406154,0.0410202309892663
4,birth_continent,23.238563537597656,1677.0,7934.37451171875,0.021044251415989652,0.07049476648871326,0.05023746226799099
5,total_income,20.727249145507812,2733.0,7937.46435546875,0.01877006904812393,0.11488503089663289,0.05025702599145468
6,age_2018,20.002716064453125,2693.0,9763.1650390625,0.018113950338710248,0.11320358148724201,0.061816673077588785
7,female,16.34197425842285,336.0,13028.8037109375,0.01479887577265602,0.014124175038883517,0.08249346358160474
8,Kommun,13.635078430175781,10711.0,5183.546875,0.012347579836297393,0.4502501155996469,0.032820260773242134
9,fgang18,12.953417778015137,25.0,12964.037109375,0.011730285306829286,0.0010509058808693093,0.0820833859255253
10,share_labor_income,11.165078163146973,1086.0,5452.958984375,0.010110810488105172,0.0456513514649628,0.03452607648174901
11,sector,7.952393531799316,727.0,7121.939453125,0.007201485090561461,0.030560343015679517,0.04509343036717575
12,barn0_6,7.857084274291992,322.0,9426.2841796875,0.007115175453822925,0.013535667745596704,0.05968367072980903
13,share_sa,7.424308776855469,446.0,4557.41796875,0.00672326498310905,0.01874816091470848,0.028855849053556495
14,barn7_17,7.406928539276123,509.0,6672.1337890625,0.006707525882510271,0.02139644373449914,0.04224543081246687
15,barn_above18,6.780134677886963,366.0,15503.6533203125,0.006139917321691454,0.015385262095926689,0.09816327645548638
16,employment_status,6.332406044006348,128.0,7057.93408203125,0.005734465671365597,0.0053806381100508635,0.044688172534876315
